iter	Passed	Remaining
0	0	59
1	1	54
2	1	51
3	1	46
4	2	45
5	2	45
6	3	44
7	3	43
8	4	43
9	4	42
10	5	41
11	5	41
12	6	40
13	6	40
14	7	39
15	7	39
16	7	39
17	8	38
18	8	37
19	9	37
20	9	36
21	10	36
22	10	36
23	11	35
24	11	35
25	12	34
26	12	34
27	13	33
28	13	33
29	14	33
30	14	32
31	15	32
32	15	31
33	16	31
34	16	30
35	17	30
36	17	30
37	18	29
38	18	29
39	19	28
40	19	28
41	19	27
42	20	27
43	20	26
44	21	26
45	22	25
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	27	22
55	28	22
56	28	21
57	29	21
58	30	20
59	30	20
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	35	17
67	35	16
68	36	16
69	37	15
70	37	15
71	38	15
72	39	14
73	39	14
74	40	13
75	41	13
76	41	12
77	42	12
78	43	11
79	43	10
80	44	10
81	45	9
82	45	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	4
91	51	4
92	51	3
93	52	3
94	53	2
95	53	2
96	54	1
97	55	1
98	55	0
99	56	0
