iter	Passed	Remaining
0	1	1577
1	3	1524
2	4	1367
3	5	1261
4	5	1187
5	6	1146
6	7	1105
7	8	1081
8	9	1061
9	10	1043
10	11	1032
11	12	1022
12	13	1013
13	14	1008
14	15	1001
15	16	993
16	17	989
17	18	1003
18	19	1002
19	20	1000
20	21	992
21	22	989
22	23	983
23	24	980
24	25	980
25	26	976
26	27	975
27	28	972
28	29	973
29	30	970
30	30	967
31	31	967
32	33	975
33	35	1001
34	36	1009
35	37	1006
36	38	998
37	39	991
38	39	984
39	40	980
40	41	980
41	42	973
42	43	967
43	44	959
44	44	951
45	45	946
46	47	954
47	48	969
48	50	976
49	51	979
50	52	975
51	53	971
52	54	968
53	54	963
54	55	961
55	57	968
56	58	964
57	59	959
58	59	953
59	60	946
60	61	946
61	62	949
62	64	953
63	66	967
64	66	963
65	67	960
66	68	956
67	69	951
68	70	947
69	71	943
70	72	943
71	72	939
72	73	937
73	74	935
74	76	939
75	77	938
76	78	943
77	79	941
78	80	938
79	81	935
80	82	931
81	82	928
82	83	920
83	84	918
84	85	915
85	85	911
86	86	908
87	87	906
88	88	903
89	89	906
90	90	906
91	91	904
92	92	906
93	94	908
94	95	906
95	96	904
96	97	903
97	98	904
98	99	901
99	99	899
100	100	898
101	101	895
102	102	892
103	103	890
104	104	888
105	105	886
106	105	884
107	106	882
108	108	884
109	110	893
110	112	899
111	113	901
112	114	902
113	115	901
114	116	898
115	117	895
116	118	891
117	118	888
118	119	887
119	120	884
120	121	882
121	122	882
122	124	887
123	125	889
124	126	888
125	127	886
126	128	882
127	129	880
128	130	878
129	130	875
130	131	873
131	132	870
132	133	868
133	133	865
134	134	864
135	135	863
136	136	862
137	138	866
138	140	871
139	141	870
140	142	868
141	143	864
142	143	862
143	144	860
144	145	858
145	146	856
146	147	853
147	147	851
148	148	848
149	149	845
150	149	843
151	150	842
152	152	841
153	153	844
154	155	846
155	156	844
156	156	842
157	157	840
158	158	837
159	159	835
160	159	832
161	160	829
162	161	827
163	161	825
164	162	822
165	163	820
166	164	818
167	165	817
168	166	816
169	167	816
170	169	819
171	170	820
172	171	819
173	172	817
174	173	815
175	173	813
176	174	812
177	175	810
178	176	808
179	176	806
180	177	803
181	178	803
182	179	801
183	180	800
184	181	801
185	183	804
186	185	807
187	186	806
188	187	805
189	188	802
190	189	802
191	190	801
192	191	799
193	191	797
194	192	794
195	193	792
196	194	791
197	194	789
198	196	791
199	199	796
200	200	796
201	201	795
202	202	793
203	202	791
204	203	790
205	204	788
206	205	786
207	206	784
208	206	782
209	207	780
210	208	778
211	209	776
212	210	776
213	211	778
214	213	779
215	214	778
216	215	776
217	215	774
218	216	773
219	217	771
220	218	769
221	218	767
222	219	765
223	220	763
224	221	761
225	221	759
226	222	757
227	223	755
228	223	754
229	224	753
230	226	753
231	228	755
232	228	753
233	229	752
234	230	750
235	231	750
236	232	749
237	233	748
238	234	746
239	235	744
240	235	742
241	236	740
242	237	738
243	237	736
244	238	735
245	239	735
246	241	734
247	242	734
248	243	734
249	244	732
250	244	730
251	245	729
252	246	727
253	247	726
254	248	725
255	248	723
256	249	721
257	250	720
258	251	718
259	251	716
260	252	714
261	253	713
262	254	712
263	255	712
264	256	712
265	258	712
266	259	711
267	259	710
268	260	708
269	261	706
270	262	705
271	263	703
272	264	703
273	264	701
274	265	700
275	266	698
276	267	697
277	268	696
278	269	695
279	270	694
280	271	694
281	272	694
282	273	693
283	274	691
284	275	690
285	275	688
286	276	686
287	277	685
288	277	683
289	278	682
290	279	680
291	279	678
292	280	677
293	281	675
294	282	674
295	283	673
296	284	673
297	285	673
298	286	672
299	287	671
300	288	670
301	289	669
302	290	667
303	290	666
304	291	664
305	292	662
306	293	661
307	293	660
308	294	658
309	295	657
310	295	655
311	296	654
312	297	652
313	298	651
314	299	651
315	300	651
316	302	650
317	302	649
318	303	648
319	304	647
320	305	645
321	305	644
322	306	642
323	307	641
324	307	639
325	308	637
326	309	636
327	309	635
328	310	633
329	311	632
330	312	630
331	313	629
332	314	629
333	315	628
334	315	627
335	316	625
336	317	624
337	318	622
338	318	621
339	319	620
340	320	618
341	320	617
342	321	615
343	322	614
344	322	612
345	323	612
346	324	611
347	325	609
348	326	608
349	326	606
350	327	605
351	328	604
352	329	603
353	330	602
354	330	601
355	331	600
356	332	598
357	333	597
358	333	595
359	334	594
360	335	593
361	335	591
362	336	590
363	337	589
364	338	588
365	339	587
366	339	586
367	340	585
368	341	584
369	342	583
370	344	583
371	345	582
372	345	581
373	346	580
374	347	579
375	348	577
376	348	576
377	349	574
378	350	573
379	350	572
380	351	570
381	352	569
382	352	568
383	353	567
384	354	566
385	355	564
386	355	563
387	356	562
388	357	560
389	357	559
390	359	559
391	360	558
392	360	557
393	361	556
394	362	554
395	362	553
396	363	552
397	364	550
398	364	549
399	365	548
400	366	547
401	367	546
402	367	544
403	368	543
404	369	542
405	369	541
406	370	539
407	371	538
408	371	537
409	372	536
410	373	535
411	374	534
412	375	533
413	375	532
414	376	530
415	377	529
416	377	528
417	378	527
418	379	525
419	380	524
420	380	523
421	381	522
422	382	521
423	382	520
424	383	519
425	384	517
426	384	516
427	385	515
428	386	514
429	386	512
430	387	511
431	388	511
432	389	510
